id,title,content,user_id,created_at,updated_at,tags
1,,"Every day is a blur  
Sometimes I can't tell what day it is  
Don't know what day it is  
Can you tell me what day it is?",1,2019-11-27T13:15:00.000Z,2019-11-27T13:15:00.000Z,thoughts
2,,"a study back  
but brittle bones  
too weak to slow",1,2020-01-21T22:55:00.000Z,2020-01-21T22:55:00.000Z,quotes
3,,It's really difficult when you want to be antisocial and have your life together and you want the tea but don't want to be a prying bitch,1,2020-02-18T05:52:00.000Z,2020-02-18T05:52:00.000Z,thoughts
4,,"**February Select**  

ICIMY - Phoebe Ryan

Starlight - Jai Wolf, Mr. Gabriel

Street Fighter - rei brown

Tidal Wave - Kiso, Rossy

Anna Sun - WALK THE MOON

american dream - LCD Soundsystem

All You Need To Know - Gryffin, SLANDER

你的答案 - 阿冗

000000 - A.CHAL

Nobody Compares To You - Gryffin, Katie Pearlman

Kill Our Way to Heaven - Michl

loneliness for love - lovelytheband

Money Power Glory - Lana Del Rey

hurts like hell - Wrabel

Lovesick - Maude Latour

People, I’ve been sad - Christine and the Queens

Beautiful People Beautiful Problem - Lana Del Rey

929 - Halsey

all the way over - sad alex

About Love - MARINA

In And Out Of Love - Oh Wonder",1,2020-02-20T21:39:00.000Z,2020-02-20T21:39:00.000Z,playlists
5,,"Claim what you deserve: Money, Power, Glory.",1,2020-03-04T01:57:00.000Z,2020-03-04T01:57:00.000Z,thoughts
6,,I can't believe I have to know you FOREVER,1,2020-03-14T15:12:00.000Z,2020-03-14T15:12:00.000Z,quotes
7,,"We fight the past, it fights back.  
Forward. Even if alone.",1,2020-03-25T11:35:00.000Z,2020-03-25T11:35:00.000Z,quotes
8,,"**March Select**  

Street Fighter - rei brown

american dream - LCD Soundsystems

loneliness for love - lovelytheband

Lovesick - Maude Latour

all the way over - sad alex

About Love - MARINA

To Die For - Sam Smith

Old You - Sofi de la Torre

Your Love (Deja Vu) - Glass Animals

makeup drawer - Isaac Dunbar

寒鸦少年 - 华晨宇

Animal - Troye Sivan

i drive me mad - renforshort

Feel Me - Selena Gomez

stardew - Purity Ring

Show Yourself - Idina Menzel, Evan Rachel Wood

Watching My Phone - King Princess

Honeybee - The Head and the Heart

I Know A Place - MUNA

Official - Charli XCX

Julia - LAUV

",1,2020-03-28T07:05:00.000Z,2020-03-28T07:05:00.000Z,playlists
9,,"I found an old pair of Keys in my purse that opened The walkup we shared How did they get there, jerk? I wanna see you there I wanna make it work. 
I didn’t brush my hair And my lashes are falling Off of seven years Of our bad luck dating I want one last night there A Brooklyn night affair.",1,2020-04-17T16:31:00.000Z,2020-04-17T16:31:00.000Z,quotes
10,,hey you hey you hey pick me,1,2020-04-23T21:21:00.000Z,2020-04-23T21:21:00.000Z,quotes
11,,"**April Select**  

I Know A Place - MUNA

Alewife - Clairo

Heartbreak Weather - Niall Horan

z - GAYLE

Major Tom (Völlig losgelöst) - Peter Schilling

2002 - Anne-Marie

freshman year - Isaac Dunbar

Winterbreak - MUNA

Jenny Jenkins - Mt. Joy

Forever Young - Eve Ai

Misery - The Maine

Melancholy Kaleidoscope - All Time Low

January Gloom (Seasons, Pt. 1) - All Time Low

Summer Daze (Seasons, Pt. 2) - All Time Low

Miss You (with Major Lazer & Tory Lanez) - Cashmere Cat, Major Lazer, Tory Lanez

comme des garçons (like the boys) - Isaac Dunbar

Confidant - Blakey

Lonely Star - Oh Wonder

Bed Of Lies - Nicki Minaj, Skylar Grey

Broken - Anson Seabra",1,2020-04-28T12:21:00.000Z,2020-04-28T12:21:00.000Z,playlists
12,,"没繁华红毯的少年时代里  

若不是他  

我怎么走过寂寂无名  

我想告诉你相爱太难了  

但少年一瞬动心就永远动心",1,2020-05-02T20:36:00.000Z,2020-05-02T20:36:00.000Z,quotes
13,,Real Strategy Requires Cunning,1,2020-05-14T19:41:00.000Z,2020-05-14T19:41:00.000Z,thoughts
14,,"**May Select**  

Confidant - Blakey

Bed Of Lies - Nicki Minaj, Skylar Grey

claws - Charli XCX

Hopeless - Halsey, Cashmere Cat

Tim McGraw - Taylor Swift

One Last Night - The Becoming

ไม่ยอม - Pop Jirapat

Shots - Broiler Remix - Imagine Dragons, Broiler

พระเอกจําลอง - Getsunova

Life Worth Missing - Car Seat Headrest

Dreamland - Glass Animals

情景剧 - 陈粒

Everybody Dies In Their Nightmares - XXXTENTACION

Comeback - Carly Rae Jepsen, Bleachers

detonate - Charli XCX

Daisies - Katy Perry

i don’t wanna know - GOLDHOUSE, Mokita

4GET - VOILÀ

Tension - Dagny

Forever - Charli XCX",1,2020-05-29T15:26:00.000Z,2020-05-29T15:26:00.000Z,playlists
15,,"希望你像我一样  

凭一口气，点一盏灯  

要知道念念不忘，必有回响  

有灯就有人  ",1,2020-05-31T11:10:00.000Z,2020-05-31T11:10:00.000Z,quotes
16,,But in my darkest hour I stumbled on a secret power: let me be the one I'm always scared to be,1,2020-06-13T18:37:00.000Z,2020-06-13T18:37:00.000Z,thoughts
17,,"With old age comes wisdom, they say. “Or at least, it may change the questions we ask,” you mutter to yourself. You have had trouble sleeping lately - more often than not, while the rest of your court is sound asleep, you find yourself staring at the ceiling.  

You are getting older, each day closer to leaving this plane of existence. It is folly to fear such things, of course, yet you cannot keep these feelings at bay. Didn’t you used to dream of… more? What happened to love?",1,2020-06-21T19:48:00.000Z,2020-06-21T19:48:00.000Z,quotes
18,,"放眼平生愿望，都和你有关  

趁我余生未满，可否相结伴",1,2020-06-27T23:02:00.000Z,2020-06-27T23:02:00.000Z,quotes
