id,title,content,user_id,created_at,updated_at,tags
1,,"Every day is a blur  
Sometimes I can't tell what day it is  
Don't know what day it is  
Can you tell me what day it is?",1,2019-11-27T13:15:00.000Z,2019-11-27T13:15:00.000Z,thoughts
2,,"a sturdy back  
but brittle bones  
too weak to slow",1,2020-01-21T22:55:00.000Z,2020-01-21T22:55:00.000Z,lyrics
3,,It's really difficult when you want to be antisocial and have your life together and you want the tea but don't want to be a prying bitch,1,2020-02-18T05:52:00.000Z,2020-02-18T05:52:00.000Z,thoughts
4,,"Claim what you deserve: Money, Power, Glory.",1,2020-03-04T01:57:00.000Z,2020-03-04T01:57:00.000Z,thoughts
5,,I can't believe I have to know you FOREVER,1,2020-03-14T15:12:00.000Z,2020-03-14T15:12:00.000Z,quotes
6,,"We fight the past, it fights back.  
Forward. Even if alone.",1,2020-03-25T11:35:00.000Z,2020-03-25T11:35:00.000Z,quotes
7,,"I found an old pair of Keys in my purse that opened The walkup we shared How did they get there, jerk? I wanna see you there I wanna make it work. 
I didn’t brush my hair And my lashes are falling Off of seven years Of our bad luck dating I want one last night there A Brooklyn night affair.",1,2020-04-17T16:31:00.000Z,2020-04-17T16:31:00.000Z,lyrics
8,,hey you hey you hey pick me,1,2020-04-23T21:21:00.000Z,2020-04-23T21:21:00.000Z,moments
9,,"没繁华红毯的少年时代里  

若不是他  

我怎么走过寂寂无名  

我想告诉你相爱太难了  

但少年一瞬动心就永远动心",1,2020-05-02T20:36:00.000Z,2020-05-02T20:36:00.000Z,lyrics
10,,Real Strategy Requires Cunning,1,2020-05-14T19:41:00.000Z,2020-05-14T19:41:00.000Z,quotes
11,,"希望你像我一样  

凭一口气，点一盏灯  

要知道念念不忘，必有回响  

有灯就有人  ",1,2020-05-31T11:10:00.000Z,2020-05-31T11:10:00.000Z,quotes
12,,But in my darkest hour I stumbled on a secret power: let me be the one I'm always scared to be,1,2020-06-13T18:37:00.000Z,2020-06-13T18:37:00.000Z,thoughts
